,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Chad Ruhwedel,United-States,PIT,31,D,78,4,9,13,14,2,15:19,13:33,0:00,1:45,4,0,0,0,0,9,0,0,3,0,13,0,0,3,0,0.0%,0.201,0.452,0.652,0.227,0.510,0.737,0.000,0.000,0.000,0.051,0.115,0.167,82,4.9%,149,86,0,0,0.00%
Niko Mikkola,Finland,STL,25,D,54,3,10,13,55,-6,16:58,15:28,0:03,1:27,2,0,1,0,0,10,0,0,3,0,12,0,1,3,0,0.0%,0.196,0.654,0.851,0.144,0.718,0.862,0.000,0.000,0.000,0.056,0.185,0.241,58,5.2%,109,81,0,0,0.00%
Dylan Coghlan,Canada,VGK,23,D,59,3,10,13,18,-5,14:12,12:52,1:02,0:16,1,2,0,1,0,8,2,0,2,0,9,4,0,3,0,30.8%,0.215,0.716,0.931,0.079,0.632,0.710,1.961,1.961,3.922,0.051,0.169,0.220,108,2.8%,62,61,0,0,0.00%
Alexander Romanov,Russia,MTL,21,D,79,3,10,13,53,-9,20:23,17:42,0:06,2:34,3,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0.0%,0.112,0.372,0.484,0.129,0.429,0.557,0.000,0.000,0.000,0.038,0.127,0.165,107,2.8%,227,144,0,0,0.00%
Erik Cernak,Slovakia,TBL,24,D,55,1,12,13,46,7,19:09,16:15,0:05,2:48,1,0,0,0,0,12,0,0,1,0,13,0,0,1,0,0.0%,0.057,0.684,0.740,0.067,0.805,0.873,0.000,0.000,0.000,0.018,0.218,0.236,86,1.2%,165,73,0,0,0.00%
Gustav Lindström,Sweden,DET,23,D,63,1,12,13,22,-12,16:06,14:48,0:02,1:15,1,0,0,0,0,12,0,0,1,0,13,0,0,1,0,0.0%,0.059,0.709,0.768,0.064,0.771,0.836,0.000,0.000,0.000,0.016,0.190,0.206,41,2.4%,59,77,0,0,0.00%
Gerald Mayhew,United-States,ANA,29,F,40,11,1,12,18,-6,13:10,12:14,0:55,0:00,10,1,0,0,0,1,0,0,0,0,11,1,0,0,0,8.3%,1.252,0.114,1.366,1.225,0.123,1.348,1.611,0.000,1.611,0.275,0.025,0.300,53,20.8%,58,26,3,7,30.00%
Parker Kelly,Canada,OTT,22,F,41,7,5,12,60,-4,10:34,9:36,0:03,0:54,7,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0.0%,0.969,0.692,1.661,1.066,0.762,1.828,0.000,0.000,0.000,0.171,0.122,0.293,48,14.6%,131,30,0,2,0.00%
Matthew Highmore,Canada,VAN,25,F,46,5,7,12,14,1,12:41,11:30,0:07,1:03,4,1,0,0,0,7,0,0,1,0,11,1,0,1,0,8.3%,0.514,0.719,1.233,0.454,0.794,1.247,10.286,0.000,10.286,0.109,0.152,0.261,61,8.2%,41,38,3,5,37.50%
Laurent Dauphin,Canada,MTL,26,F,38,4,8,12,25,-10,13:17,11:59,0:10,1:07,4,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0.0%,0.475,0.950,1.425,0.527,1.053,1.580,0.000,0.000,0.000,0.105,0.211,0.316,50,8.0%,31,27,104,143,42.11%
Cody Eakin,Canada,BUF,30,F,69,4,8,12,22,-15,13:35,12:15,0:08,1:16,3,1,0,1,0,6,1,1,1,0,9,2,1,2,0,16.7%,0.256,0.512,0.768,0.213,0.426,0.639,6.406,6.406,12.811,0.058,0.116,0.174,74,5.4%,33,29,482,378,56.05%
Tyler Bozak,Canada,STL,35,F,50,3,9,12,14,-11,12:09,10:30,0:19,1:19,2,0,1,1,0,7,1,1,1,0,9,1,2,2,0,8.3%,0.296,0.888,1.184,0.228,0.799,1.028,0.000,3.704,3.704,0.060,0.180,0.240,46,6.5%,20,21,175,212,45.22%
Mark Pysyk,Canada,BUF,29,D,68,3,9,12,16,-4,17:48,15:43,0:02,2:01,3,0,0,0,0,9,0,0,1,0,12,0,0,1,0,0.0%,0.149,0.446,0.595,0.168,0.505,0.673,0.000,0.000,0.000,0.044,0.132,0.176,64,4.7%,41,85,0,0,0.00%
Riley Stillman,Canada,CHI,23,D,52,2,10,12,36,-8,15:03,13:55,0:01,1:07,2,0,0,1,0,10,0,0,2,0,12,0,0,3,0,0.0%,0.153,0.766,0.919,0.166,0.829,0.995,0.000,0.000,0.000,0.038,0.192,0.231,49,4.1%,122,67,0,0,0.00%
Devin Shore,Canada,EDM,27,F,49,5,6,11,10,-4,9:33,8:23,0:01,1:08,4,0,1,0,0,6,0,0,0,0,10,0,1,0,0,0.0%,0.640,0.768,1.409,0.583,0.875,1.458,0.000,0.000,0.000,0.102,0.122,0.224,36,13.9%,67,21,102,112,47.66%
Michael Pezzetta,Canada,MTL,23,F,51,5,6,11,81,-7,7:50,7:43,0:06,0:00,5,0,0,0,0,6,0,0,1,0,11,0,0,1,0,0.0%,0.751,0.901,1.652,0.762,0.914,1.676,0.000,0.000,0.000,0.098,0.118,0.216,49,10.2%,156,8,6,5,54.55%
Logan Brown,United-States,STL,23,F,39,4,7,11,8,-3,10:11,9:47,0:22,0:02,4,0,0,0,0,6,1,0,1,0,10,1,0,1,0,9.1%,0.604,1.057,1.661,0.629,0.943,1.572,0.000,4.162,4.162,0.103,0.179,0.282,34,11.8%,22,13,66,102,39.29%
Braden Schneider,Canada,NYR,20,D,43,2,9,11,9,5,15:28,14:52,0:05,0:30,2,0,0,0,0,8,1,0,0,0,10,1,0,0,0,9.1%,0.180,0.811,0.992,0.188,0.750,0.938,0.000,16.143,16.143,0.047,0.209,0.256,25,8.0%,60,52,0,0,0.00%
Danny DeKeyser,United-States,DET,31,D,59,0,11,11,26,-8,18:30,16:12,0:04,2:12,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0.0%,0.000,0.605,0.605,0.000,0.690,0.690,0.000,0.000,0.000,0.000,0.186,0.186,57,0.0%,49,102,0,0,0.00%
Adam Ruzicka,Slovakia,CGY,22,F,28,5,5,10,8,8,10:13,9:59,0:13,0:00,5,0,0,0,0,5,0,0,2,0,10,0,0,2,0,0.0%,1.048,1.048,2.096,1.072,1.072,2.144,0.000,0.000,0.000,0.179,0.179,0.357,33,15.2%,24,8,103,120,46.19%
Joe Thornton,Canada,FLA,42,F,34,5,5,10,10,-10,11:06,9:46,1:18,0:00,2,3,0,1,0,5,0,0,0,0,7,3,0,1,0,30.0%,0.794,0.794,1.589,0.361,0.902,1.263,4.033,0.000,4.033,0.147,0.147,0.294,26,19.2%,20,10,77,98,44.00%
Christian Fischer,United-States,ARI,24,F,53,5,5,10,14,-15,13:06,11:15,1:01,0:49,4,1,0,0,0,5,0,0,0,0,9,1,0,0,0,10.0%,0.432,0.432,0.863,0.402,0.503,0.905,1.113,0.000,1.113,0.094,0.094,0.189,76,6.6%,91,22,76,147,34.08%
Connor Murphy,United-States,CHI,28,D,57,4,6,10,47,-14,21:45,19:00,0:03,2:41,4,0,0,1,0,6,0,0,1,0,10,0,0,2,0,0.0%,0.194,0.290,0.484,0.221,0.332,0.554,0.000,0.000,0.000,0.070,0.105,0.175,71,5.6%,130,150,0,0,0.00%
Cam York,United-States,PHI,20,D,30,3,7,10,6,-14,19:04,16:14,2:17,0:32,2,1,0,0,0,4,3,0,1,0,6,4,0,1,0,40.0%,0.314,0.734,1.048,0.246,0.492,0.739,0.872,2.617,3.489,0.100,0.233,0.333,33,9.1%,20,40,0,0,0.00%
Jake Walman,Canada,DET,25,D,51,3,7,10,10,-3,14:01,13:00,0:25,0:36,3,0,0,0,0,6,1,0,2,0,9,1,0,2,0,10.0%,0.252,0.587,0.839,0.271,0.543,0.814,0.000,2.819,2.819,0.059,0.137,0.196,87,3.5%,47,58,0,0,0.00%
Connor Clifton,United-States,BOS,26,D,60,2,8,10,32,-2,16:02,14:48,0:01,1:12,2,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0.0%,0.125,0.499,0.623,0.135,0.541,0.676,0.000,0.000,0.000,0.033,0.133,0.167,80,2.5%,156,62,0,0,0.00%
Jacob Bryson,Canada,BUF,24,D,73,1,9,10,12,-9,18:20,16:37,0:54,0:48,0,1,0,0,0,3,6,0,0,0,3,7,0,0,0,70.0%,0.045,0.403,0.448,0.000,0.148,0.148,0.912,5.471,6.383,0.014,0.123,0.137,43,2.3%,55,73,0,0,0.00%
Scott Reedy,United-States,SJS,22,F,35,7,2,9,10,-8,11:11,9:37,1:33,0:00,4,3,0,2,0,2,0,0,0,0,6,3,0,2,0,33.3%,1.073,0.307,1.379,0.713,0.356,1.069,3.312,0.000,3.312,0.200,0.057,0.257,33,21.2%,14,26,53,79,40.15%
Mathieu Perreault,Canada,MTL,33,F,25,4,5,9,4,2,11:15,9:51,1:21,0:01,4,0,0,0,0,4,1,0,0,0,8,1,0,0,0,11.1%,0.853,1.066,1.919,0.974,0.974,1.948,0.000,1.758,1.758,0.160,0.200,0.360,27,14.8%,35,11,36,35,50.70%
Patrick Brown,United-States,PHI,29,F,44,4,5,9,11,-16,12:26,10:39,0:03,1:43,4,0,0,0,0,5,0,0,1,0,9,0,0,1,0,0.0%,0.439,0.548,0.987,0.512,0.640,1.152,0.000,0.000,0.000,0.091,0.114,0.205,51,7.8%,100,36,242,172,58.45%
Alexei Protas,Belarus,WSH,20,F,33,3,6,9,0,4,11:50,10:50,0:59,0:00,3,0,0,0,0,5,1,0,2,0,8,1,0,2,0,11.1%,0.461,0.922,1.383,0.503,0.839,1.342,0.000,1.847,1.847,0.091,0.182,0.273,34,8.8%,20,12,56,69,44.80%
Zack MacEwen,Canada,PHI,25,F,75,3,6,9,110,-15,9:39,9:30,0:08,0:00,3,0,0,1,0,6,0,0,0,0,9,0,0,1,0,0.0%,0.248,0.497,0.745,0.252,0.505,0.757,0.000,0.000,0.000,0.040,0.080,0.120,82,3.7%,159,32,16,19,45.71%
Anton Blidh,Sweden,BOS,26,F,32,2,7,9,24,-3,10:43,9:50,0:00,0:52,2,0,0,0,0,7,0,0,1,0,9,0,0,1,0,0.0%,0.350,1.224,1.573,0.381,1.333,1.713,0.000,0.000,0.000,0.063,0.219,0.281,28,7.1%,82,17,0,3,0.00%
MacKenzie Entwistle,Canada,CHI,22,F,55,5,7,12,23,-16,10:14,9:31,0:05,0:37,4,0,1,0,0,7,0,0,1,0,11,0,1,1,0,0.0%,0.532,0.745,1.278,0.458,0.801,1.259,0.000,0.000,0.000,0.091,0.127,0.218,34,14.7%,129,22,18,27,40.00%
Dysin Mayo,Canada,ARI,25,D,67,4,8,12,27,-22,20:54,17:54,0:03,2:57,4,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0.0%,0.171,0.343,0.514,0.200,0.400,0.600,0.000,0.000,0.000,0.060,0.119,0.179,76,5.3%,129,133,0,0,0.00%
Jani Hakanpää,Finland,DAL,29,D,80,4,8,12,43,1,16:12,13:54,0:02,2:16,4,0,0,0,0,7,0,1,1,0,11,0,1,1,0,0.0%,0.185,0.370,0.555,0.216,0.378,0.593,0.000,0.000,0.000,0.050,0.100,0.150,68,5.9%,248,112,0,0,0.00%
Ryan Carpenter,United-States,CGY,30,F,67,3,9,12,36,-11,12:34,10:18,0:21,1:55,3,0,0,2,0,8,1,0,3,0,11,1,0,5,0,8.3%,0.214,0.641,0.854,0.261,0.695,0.956,0.000,2.479,2.479,0.045,0.134,0.179,67,4.5%,136,44,200,188,51.55%
Sebastian Aho,Sweden,NYI,25,D,36,2,10,12,10,-6,16:27,15:40,0:44,0:02,2,0,0,0,0,8,2,0,0,0,10,2,0,0,0,16.7%,0.203,1.013,1.215,0.213,0.851,1.063,0.000,4.506,4.506,0.056,0.278,0.333,34,5.9%,32,42,0,0,0.00%
Emil Bemström,Sweden,CBJ,22,F,41,6,5,11,4,-1,10:31,9:25,1:05,0:00,6,0,0,1,0,5,0,0,0,0,11,0,0,1,0,0.0%,0.835,0.695,1.530,0.932,0.776,1.708,0.000,0.000,0.000,0.146,0.122,0.268,62,9.7%,36,6,2,2,50.00%
Jasper Weatherby,United-States,SJS,23,F,50,5,6,11,18,-14,11:14,9:58,1:11,0:05,4,1,0,0,0,5,1,0,2,0,9,2,0,2,0,18.2%,0.534,0.641,1.174,0.481,0.602,1.083,1.010,1.010,2.021,0.100,0.120,0.220,45,11.1%,52,24,173,168,50.73%
Jason Dickinson,Canada,VAN,26,F,62,5,6,11,19,-1,13:03,11:29,0:05,1:28,5,0,0,0,0,6,0,0,3,0,11,0,0,3,0,0.0%,0.371,0.445,0.816,0.421,0.505,0.927,0.000,0.000,0.000,0.081,0.097,0.177,66,7.6%,101,43,123,166,42.56%
Dean Kukan,Switzerland,CBJ,28,D,41,3,8,11,16,-2,16:17,15:13,0:23,0:41,3,0,0,0,0,8,0,0,1,0,11,0,0,1,0,0.0%,0.269,0.719,0.988,0.289,0.769,1.058,0.000,0.000,0.000,0.073,0.195,0.268,41,7.3%,43,39,0,0,0.00%
Nikita Zaitsev,Russia,OTT,30,D,62,2,9,11,28,-7,18:59,16:07,0:03,2:48,2,0,0,0,0,7,0,2,1,0,9,0,2,1,0,0.0%,0.102,0.459,0.561,0.120,0.420,0.540,0.000,0.000,0.000,0.032,0.145,0.177,65,3.1%,128,103,0,0,0.00%
Matthew Benning,Canada,NSH,27,D,65,0,11,11,39,-24,16:20,14:06,0:01,2:11,0,0,0,0,0,11,0,0,1,0,11,0,0,1,0,0.0%,0.000,0.622,0.622,0.000,0.719,0.719,0.000,0.000,0.000,0.000,0.169,0.169,61,0.0%,82,67,0,0,0.00%
Vinni Lettieri,United-States,ANA,26,F,31,5,5,10,6,-8,12:30,10:50,1:39,0:00,3,2,0,0,0,2,3,0,1,0,5,5,0,1,0,50.0%,0.773,0.773,1.546,0.536,0.357,0.893,2.335,3.502,5.837,0.161,0.161,0.323,50,10.0%,40,17,12,11,52.17%
Quinton Byfield,Canada,LAK,19,F,40,5,5,10,20,-7,12:09,11:31,0:33,0:03,5,0,0,1,0,4,1,0,2,0,9,1,0,3,0,10.0%,0.617,0.617,1.234,0.650,0.520,1.171,0.000,2.679,2.679,0.125,0.125,0.250,39,12.8%,20,11,124,148,45.59%
Travis Hamonic,Canada,OTT,31,D,43,4,6,10,14,6,18:50,16:53,0:03,1:54,4,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0.0%,0.296,0.444,0.740,0.330,0.496,0.826,0.000,0.000,0.000,0.093,0.140,0.233,82,4.9%,73,93,0,0,0.00%
Colin White,United-States,OTT,24,F,24,3,7,10,4,-11,15:20,12:40,2:38,0:01,1,2,0,1,0,2,5,0,2,0,3,7,0,3,0,70.0%,0.489,1.141,1.630,0.197,0.395,0.592,1.896,4.739,6.635,0.125,0.292,0.417,47,6.4%,28,4,86,91,48.59%
Karson Kuhlman,United-States,SEA,26,F,44,3,7,10,6,-2,11:54,11:01,0:01,0:51,3,0,0,0,0,7,0,0,2,0,10,0,0,2,0,0.0%,0.344,0.802,1.146,0.371,0.866,1.237,0.000,0.000,0.000,0.068,0.159,0.227,68,4.4%,71,20,0,2,0.00%
Kale Clague,Canada,MTL,23,D,36,2,8,10,20,-10,16:44,14:41,1:41,0:21,2,0,0,0,0,5,3,0,3,1,7,3,0,3,1,30.0%,0.199,0.797,0.996,0.227,0.567,0.794,0.000,2.961,2.961,0.056,0.222,0.278,26,7.7%,14,23,0,0,0.00%
Andy Greene,United-States,NYI,39,D,69,2,8,10,10,-13,17:24,15:40,0:01,1:42,2,0,0,0,0,8,0,0,1,0,10,0,0,1,0,0.0%,0.100,0.400,0.499,0.111,0.444,0.555,0.000,0.000,0.000,0.029,0.116,0.145,52,3.9%,39,126,0,0,0.00%
Mattias Samuelsson,United-States,BUF,21,D,42,0,10,10,16,-10,19:59,17:38,0:02,2:17,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0.0%,0.000,0.714,0.714,0.000,0.809,0.809,0.000,0.000,0.000,0.000,0.238,0.238,44,0.0%,100,60,0,0,0.00%
Noah Cates,United-States,PHI,22,F,16,5,4,9,4,4,13:14,12:02,0:02,1:09,4,1,0,1,0,4,0,0,0,0,8,1,0,1,0,11.1%,1.416,1.132,2.548,1.245,1.245,2.490,81.818,0.000,81.818,0.313,0.250,0.563,23,21.7%,21,6,0,7,0.00%
Klim Kostin,Russia,STL,22,F,40,4,5,9,23,-3,9:00,8:58,0:02,0:00,4,0,0,1,0,5,0,0,0,0,9,0,0,1,0,0.0%,0.666,0.832,1.498,0.669,0.836,1.504,0.000,0.000,0.000,0.100,0.125,0.225,31,12.9%,90,9,2,2,50.00%
Matthew Beniers,United-States,SEA,19,F,10,3,6,9,0,-1,16:56,13:57,2:56,0:02,1,2,0,0,0,4,2,0,0,0,5,4,0,0,0,44.4%,1.063,2.125,3.188,0.430,1.720,2.150,4.075,4.075,8.149,0.300,0.600,0.900,18,16.7%,7,4,39,53,42.39%
Lucas Carlsson,Sweden,FLA,24,D,40,3,6,9,10,3,12:42,12:30,0:04,0:07,3,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0.0%,0.354,0.708,1.062,0.360,0.720,1.079,0.000,0.000,0.000,0.075,0.150,0.225,41,7.3%,39,29,0,0,0.00%
Kris Russell,Canada,EDM,34,D,31,2,7,9,4,7,15:26,13:38,0:02,1:45,2,0,0,1,0,7,0,0,1,0,9,0,0,2,0,0.0%,0.251,0.877,1.128,0.284,0.993,1.276,0.000,0.000,0.000,0.065,0.226,0.290,34,5.9%,33,68,0,0,0.00%
Kyle Capobianco,Canada,ARI,24,D,45,2,7,9,38,-12,16:00,15:17,0:34,0:08,1,1,0,1,1,6,1,0,1,1,7,2,0,2,2,22.2%,0.167,0.583,0.750,0.087,0.523,0.610,2.341,2.341,4.681,0.044,0.156,0.200,40,5.0%,43,46,0,0,0.00%
Robert Hägg,Sweden,FLA,26,D,64,1,8,9,35,-9,16:01,14:03,0:01,1:55,1,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0.0%,0.059,0.468,0.527,0.067,0.533,0.600,0.000,0.000,0.000,0.016,0.125,0.141,59,1.7%,138,102,0,0,0.00%
Ryan Dzingel,United-States,SJS,29,F,32,5,3,8,35,-5,13:42,12:41,0:39,0:21,5,0,0,1,0,3,0,0,1,0,8,0,0,2,0,0.0%,0.684,0.410,1.094,0.738,0.443,1.181,0.000,0.000,0.000,0.156,0.094,0.250,32,15.6%,20,9,65,88,42.48%
Brad Richardson,Canada,VAN,36,F,44,4,4,8,35,-1,10:18,9:27,0:03,0:48,4,0,0,1,0,4,0,0,0,0,8,0,0,1,0,0.0%,0.529,0.529,1.058,0.577,0.577,1.154,0.000,0.000,0.000,0.091,0.091,0.182,31,12.9%,59,20,139,100,58.16%
Antoine Roussel,France,ARI,32,F,53,4,4,8,59,-16,12:08,10:22,0:02,1:43,4,0,0,1,0,4,0,0,0,0,8,0,0,1,0,0.0%,0.373,0.373,0.746,0.437,0.437,0.873,0.000,0.000,0.000,0.075,0.075,0.151,59,6.8%,74,34,17,22,43.59%
Fabian Zetterlund,Sweden,NJD,22,F,14,3,5,8,0,5,13:20,11:47,1:32,0:00,3,0,0,0,0,5,0,0,1,0,8,0,0,1,0,0.0%,0.964,1.606,2.570,1.090,1.816,2.906,0.000,0.000,0.000,0.214,0.357,0.571,36,8.3%,16,7,2,1,66.67%
Alec Martinez,United-States,VGK,34,D,26,3,5,8,4,6,19:32,17:51,0:28,1:12,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0.0%,0.354,0.590,0.945,0.388,0.646,1.034,0.000,0.000,0.000,0.115,0.192,0.308,32,9.4%,26,68,0,0,0.00%
Zach Bogosian,United-States,TBL,31,D,48,3,5,8,53,2,15:21,14:57,0:00,0:24,3,0,0,1,0,5,0,0,1,0,8,0,0,2,0,0.0%,0.244,0.407,0.651,0.251,0.418,0.669,0.000,0.000,0.000,0.063,0.104,0.167,60,5.0%,114,34,0,0,0.00%
Jordan Spence,Canada,LAK,20,D,24,2,6,8,2,0,19:44,17:28,1:41,0:34,2,0,0,1,0,4,2,0,2,0,6,2,0,3,0,25.0%,0.253,0.760,1.013,0.286,0.572,0.858,0.000,2.954,2.954,0.083,0.250,0.333,41,4.9%,32,29,0,0,0.00%
Will Butcher,United-States,BUF,26,D,37,2,6,8,0,-10,16:28,15:39,0:40,0:04,2,0,0,0,0,4,2,0,0,0,6,2,0,0,0,25.0%,0.197,0.590,0.787,0.207,0.414,0.622,0.000,4.765,4.765,0.054,0.162,0.216,35,5.7%,11,32,0,0,0.00%
Jordan Oesterle,United-States,DET,29,D,45,2,6,8,4,-7,18:17,16:55,0:18,1:03,2,0,0,1,1,6,0,0,0,0,8,0,0,1,1,0.0%,0.146,0.437,0.583,0.158,0.473,0.630,0.000,0.000,0.000,0.044,0.133,0.178,63,3.2%,27,44,0,0,0.00%
Jordie Benn,Canada,MIN,34,D,39,1,7,8,10,1,14:58,14:04,0:02,0:51,1,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0.0%,0.103,0.719,0.822,0.109,0.765,0.874,0.000,0.000,0.000,0.026,0.179,0.205,37,2.7%,51,41,0,0,0.00%
Alexander Chmelevski,United-States,SJS,22,F,19,0,8,8,4,2,13:11,12:26,0:06,0:38,0,0,0,0,0,8,0,0,2,0,8,0,0,2,0,0.0%,0.000,1.916,1.916,0.000,2.030,2.030,0.000,0.000,0.000,0.000,0.421,0.421,31,0.0%,20,4,31,48,39.24%
Tobias Björnfot,Sweden,LAK,20,D,70,0,8,8,6,-12,16:45,15:36,0:04,1:04,0,0,0,0,0,8,0,0,2,0,8,0,0,2,0,0.0%,0.000,0.409,0.409,0.000,0.439,0.439,0.000,0.000,0.000,0.000,0.114,0.114,53,0.0%,61,58,0,0,0.00%
Brendan Gaunce,Canada,CBJ,27,F,30,5,2,7,12,2,8:05,8:05,0:00,0:00,5,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0.0%,1.235,0.494,1.729,1.236,0.494,1.731,0.000,0.000,0.000,0.167,0.067,0.233,44,11.4%,42,9,66,60,52.38%
Paul Byron,Canada,MTL,32,F,27,4,3,7,2,-8,12:36,10:53,0:17,1:25,4,0,0,2,0,3,0,0,0,0,7,0,0,2,0,0.0%,0.705,0.529,1.235,0.817,0.612,1.429,0.000,0.000,0.000,0.148,0.111,0.259,33,12.1%,66,7,33,36,47.83%
Henrik Borgström,Finland,CHI,24,F,52,4,3,7,22,-14,10:31,9:48,0:38,0:04,4,0,0,0,0,2,1,0,0,0,6,1,0,0,0,14.3%,0.439,0.329,0.768,0.470,0.235,0.706,0.000,1.805,1.805,0.077,0.058,0.135,41,9.8%,26,19,82,122,40.20%
Joshua Mahura,Canada,ANA,23,D,38,3,4,7,12,-14,14:03,13:49,0:02,0:11,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0.0%,0.337,0.449,0.786,0.343,0.457,0.800,0.000,0.000,0.000,0.079,0.105,0.184,36,8.3%,63,51,0,0,0.00%
Boris Katchouk,Canada,CHI,23,F,59,3,4,7,39,-7,9:55,9:16,0:02,0:36,3,0,0,1,0,4,0,0,0,0,7,0,0,1,0,0.0%,0.307,0.410,0.717,0.329,0.438,0.767,0.000,0.000,0.000,0.051,0.068,0.119,58,5.2%,138,20,7,12,36.84%
Matthew Martin,Canada,NYI,32,F,71,3,4,7,70,-2,11:26,11:20,0:05,0:01,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0.0%,0.222,0.295,0.517,0.224,0.298,0.522,0.000,0.000,0.000,0.042,0.056,0.099,66,4.6%,235,27,8,11,42.11%
Calle Rosén,Sweden,STL,27,D,18,2,5,7,4,-2,14:19,13:56,0:07,0:16,2,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0.0%,0.465,1.163,1.629,0.478,1.196,1.674,0.000,0.000,0.000,0.111,0.278,0.389,18,11.1%,6,16,0,0,0.00%
Gregory Hofmann,Switzerland,CBJ,29,F,24,2,5,7,8,6,12:30,11:42,0:34,0:13,2,0,0,2,0,5,0,0,0,0,7,0,0,2,0,0.0%,0.400,1.000,1.399,0.427,1.068,1.495,0.000,0.000,0.000,0.083,0.208,0.292,33,6.1%,23,10,0,8,0.00%
Ross Johnston,Canada,NYI,27,F,32,2,5,7,44,-3,10:16,10:14,0:02,0:00,2,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0.0%,0.365,0.913,1.278,0.366,0.916,1.282,0.000,0.000,0.000,0.063,0.156,0.219,9,22.2%,90,16,0,1,0.00%
Travis Dermott,Canada,VAN,25,D,60,2,5,7,14,9,15:20,14:42,0:01,0:35,2,0,0,1,0,5,0,0,0,0,7,0,0,1,0,0.0%,0.130,0.326,0.456,0.136,0.340,0.476,0.000,0.000,0.000,0.033,0.083,0.117,46,4.4%,55,46,0,0,0.00%
Jeremy Lauzon,Canada,NSH,24,D,66,2,5,7,81,-6,17:40,15:45,0:01,1:53,2,0,0,0,0,5,0,0,1,0,7,0,0,1,0,0.0%,0.103,0.257,0.360,0.115,0.288,0.404,0.000,0.000,0.000,0.030,0.076,0.106,75,2.7%,224,63,0,0,0.00%
Callan Foote,Canada,TBL,23,D,56,2,7,9,29,6,13:07,12:54,0:01,0:12,2,0,0,0,0,7,0,0,3,0,9,0,0,3,0,0.0%,0.163,0.571,0.735,0.166,0.581,0.747,0.000,0.000,0.000,0.036,0.125,0.161,49,4.1%,83,57,0,0,0.00%
Jack Johnson,United-States,COL,34,D,74,1,8,9,42,5,16:44,14:40,0:02,2:01,1,0,0,0,0,7,0,1,0,0,8,0,1,0,0,0.0%,0.048,0.387,0.436,0.055,0.387,0.442,0.000,0.000,0.000,0.014,0.108,0.122,57,1.8%,91,68,0,0,0.00%
Anders Bjork,United-States,BUF,25,F,58,5,3,8,10,-14,12:02,11:25,0:02,0:35,5,0,0,0,0,3,0,0,1,0,8,0,0,1,0,0.0%,0.430,0.258,0.687,0.453,0.272,0.725,0.000,0.000,0.000,0.086,0.052,0.138,51,9.8%,11,16,1,4,20.00%
Brendan Smith,Canada,CAR,32,D,45,4,4,8,36,6,13:55,12:50,0:00,1:04,4,0,0,1,0,4,0,0,1,0,8,0,0,2,0,0.0%,0.383,0.383,0.766,0.415,0.415,0.831,0.000,0.000,0.000,0.089,0.089,0.178,63,6.4%,73,40,0,0,0.00%
Calvin de Haan,Canada,CHI,30,D,69,4,4,8,33,-21,18:57,17:16,0:04,1:36,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0.0%,0.183,0.183,0.367,0.201,0.201,0.403,0.000,0.000,0.000,0.058,0.058,0.116,107,3.7%,146,172,0,0,0.00%
Noel Acciari,United-States,FLA,30,F,20,3,5,8,11,2,11:59,10:37,0:09,1:11,3,0,0,1,0,5,0,0,0,0,8,0,0,1,0,0.0%,0.751,1.252,2.003,0.847,1.411,2.258,0.000,0.000,0.000,0.150,0.250,0.400,32,9.4%,48,16,84,82,50.60%
Dakota Joshua,United-States,STL,25,F,30,3,5,8,16,6,8:29,8:26,0:02,0:00,3,0,0,2,0,5,0,0,1,0,8,0,0,3,0,0.0%,0.706,1.177,1.884,0.711,1.186,1.897,0.000,0.000,0.000,0.100,0.167,0.267,31,9.7%,77,10,40,35,53.33%
Kole Lind,Canada,SEA,23,F,23,2,6,8,12,-1,11:49,11:42,0:05,0:02,2,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0.0%,0.441,1.323,1.764,0.446,1.337,1.782,0.000,0.000,0.000,0.087,0.261,0.348,31,6.5%,18,10,6,11,35.29%
